iter	Passed	Remaining
472	1159	1291
473	1162	1290
474	1165	1288
475	1168	1286
476	1171	1284
477	1172	1279
478	1174	1277
479	1176	1274
480	1179	1272
481	1180	1268
482	1185	1268
483	1187	1266
484	1188	1262
485	1192	1261
486	1196	1260
487	1197	1256
488	1200	1254
489	1202	1251
490	1204	1249
491	1208	1247
492	1209	1243
493	1211	1240
494	1214	1239
495	1217	1236
496	1218	1232
497	1221	1231
498	1225	1230
499	1227	1227
500	1229	1224
501	1231	1221
502	1232	1217
503	1233	1214
504	1238	1214
505	1239	1210
506	1240	1206
507	1241	1202
508	1242	1198
509	1246	1197
510	1248	1194
511	1249	1190
512	1250	1186
513	1251	1182
514	1252	1179
515	1260	1181
516	1261	1178
517	1263	1175
518	1264	1171
519	1265	1168
520	1266	1164
521	1267	1160
522	1279	1167
523	1282	1164
524	1284	1161
525	1297	1169
526	1298	1165
527	1304	1166
528	1305	1162
529	1307	1159
530	1308	1156
531	1310	1152
532	1312	1149
533	1313	1146
534	1314	1142
535	1318	1141
536	1319	1137
537	1326	1139
538	1327	1135
539	1329	1132
540	1333	1131
541	1337	1130
542	1340	1128
543	1342	1125
544	1347	1124
545	1347	1120
546	1350	1118
547	1353	1116
548	1356	1114
549	1359	1112
550	1362	1110
551	1363	1106
552	1364	1103
553	1370	1103
554	1373	1100
555	1375	1098
556	1378	1096
557	1381	1093
558	1383	1091
559	1386	1089
560	1389	1087
561	1390	1083
562	1392	1080
563	1396	1079
564	1399	1077
565	1403	1075
566	1404	1072
567	1408	1071
568	1410	1068
569	1413	1066
570	1415	1063
571	1416	1059
572	1417	1056
573	1418	1052
574	1419	1049
575	1420	1045
576	1421	1041
577	1422	1038
578	1424	1035
579	1425	1032
580	1426	1028
581	1427	1024
582	1428	1021
583	1429	1018
584	1430	1015
585	1431	1011
586	1432	1007
587	1433	1004
588	1434	1000
589	1435	997
590	1436	994
591	1438	991
592	1439	988
593	1440	984
594	1443	982
595	1444	979
596	1445	976
597	1446	972
598	1447	969
599	1448	965
600	1449	962
601	1450	958
602	1451	955
603	1453	953
604	1454	949
605	1456	947
606	1457	943
607	1459	941
608	1461	938
609	1462	935
610	1463	931
611	1464	928
612	1465	925
613	1466	922
614	1467	918
615	1469	915
616	1470	912
617	1472	910
618	1474	907
619	1475	904
620	1477	901
621	1478	898
622	1479	895
623	1480	892
624	1481	888
625	1482	885
626	1483	882
627	1484	879
628	1486	876
629	1487	873
630	1490	871
631	1492	868
632	1495	866
633	1496	863
634	1498	861
635	1499	858
636	1502	856
637	1503	853
638	1504	849
639	1507	847
640	1509	845
641	1510	842
642	1512	839
643	1514	837
644	1515	834
645	1518	831
646	1519	828
647	1520	825
648	1520	822
649	1525	821
650	1526	818
651	1527	815
652	1529	812
653	1530	809
654	1531	806
655	1533	804
656	1534	801
657	1537	798
658	1538	796
659	1541	794
660	1542	791
661	1543	788
662	1546	786
663	1547	783
664	1549	780
665	1551	778
666	1552	775
667	1553	772
668	1555	769
669	1556	766
670	1558	764
671	1559	761
672	1560	758
673	1561	755
674	1563	752
675	1564	749
676	1566	747
677	1569	745
678	1570	742
679	1571	739
680	1574	737
681	1575	734
682	1577	732
683	1578	729
684	1580	726
685	1582	724
686	1584	721
687	1586	719
688	1587	716
689	1588	713
690	1590	711
691	1591	708
692	1593	705
693	1594	702
694	1596	700
695	1598	698
696	1599	695
697	1600	692
698	1602	690
699	1604	687
700	1606	685
701	1608	682
702	1611	680
703	1613	678
704	1615	676
705	1616	673
706	1618	670
707	1621	668
708	1622	666
709	1624	663
710	1625	660
711	1627	658
712	1629	655
713	1630	653
714	1631	650
715	1633	647
716	1634	645
717	1635	642
718	1641	641
719	1642	638
720	1643	635
721	1646	633
722	1646	631
723	1648	628
724	1650	625
725	1653	623
726	1655	621
727	1657	619
728	1660	617
729	1662	614
730	1663	612
731	1665	609
732	1667	607
733	1668	604
734	1670	602
735	1671	599
736	1674	597
737	1675	594
738	1678	592
739	1679	589
740	1680	587
741	1682	584
742	1683	582
743	1684	579
744	1688	577
745	1691	575
746	1692	573
747	1694	570
748	1697	568
749	1699	566
750	1700	563
751	1703	561
752	1704	559
753	1706	556
754	1707	554
755	1710	552
756	1712	549
757	1715	547
758	1716	545
759	1717	542
760	1719	540
761	1722	537
762	1724	535
763	1727	533
764	1728	530
765	1730	528
766	1733	526
767	1736	524
768	1738	522
769	1739	519
770	1741	517
771	1744	515
772	1744	512
773	1747	510
774	1748	507
775	1749	504
776	1751	502
777	1752	500
778	1754	497
779	1755	495
780	1756	492
781	1758	490
782	1759	487
783	1760	485
784	1763	483
785	1764	480
786	1766	477
787	1768	475
788	1771	473
789	1773	471
790	1774	468
791	1776	466
792	1779	464
793	1782	462
794	1784	460
795	1787	457
796	1789	455
797	1791	453
798	1792	450
799	1797	449
800	1800	447
801	1801	444
802	1803	442
803	1805	440
804	1807	437
805	1810	435
806	1812	433
807	1814	431
808	1815	428
809	1817	426
810	1819	424
811	1822	421
812	1824	419
813	1826	417
814	1829	415
815	1832	413
816	1833	410
817	1834	408
818	1835	405
819	1838	403
820	1840	401
821	1843	399
822	1845	396
823	1846	394
824	1848	392
825	1850	389
826	1851	387
827	1853	384
828	1856	382
829	1858	380
830	1859	378
831	1861	375
832	1862	373
833	1864	371
834	1865	368
835	1869	366
836	1871	364
837	1872	361
838	1873	359
839	1874	357
840	1876	354
841	1878	352
842	1881	350
843	1882	347
844	1883	345
845	1884	343
846	1887	340
847	1888	338
848	1891	336
849	1892	333
850	1896	332
851	1898	329
852	1899	327
853	1901	325
854	1903	322
855	1904	320
856	1905	317
857	1907	315
858	1910	313
859	1913	311
860	1915	309
861	1916	306
862	1918	304
863	1920	302
864	1922	299
865	1923	297
866	1926	295
867	1928	293
868	1932	291
869	1935	289
870	1937	286
871	1939	284
872	1943	282
873	1946	280
874	1948	278
875	1949	276
876	1957	274
877	1960	272
878	1961	270
879	1963	267
880	1965	265
881	1968	263
882	1969	260
883	1970	258
884	1973	256
885	1974	254
886	1976	251
887	1977	249
888	1979	247
889	1981	244
890	1982	242
891	1983	240
892	1985	237
893	1986	235
894	1987	233
895	1989	230
896	1989	228
897	1992	226
898	1993	223
899	1994	221
900	1996	219
901	1999	217
902	1999	214
903	2001	212
904	2002	210
905	2003	207
906	2004	205
907	2007	203
908	2008	201
909	2012	199
910	2015	196
911	2016	194
912	2018	192
913	2020	190
914	2021	187
915	2024	185
916	2027	183
917	2028	181
918	2029	178
919	2032	176
920	2033	174
921	2034	172
922	2037	169
923	2038	167
924	2039	165
925	2039	163
926	2043	160
927	2046	158
928	2048	156
929	2050	154
930	2051	152
931	2055	149
932	2056	147
933	2057	145
934	2061	143
935	2062	141
936	2063	138
937	2065	136
938	2066	134
939	2068	132
940	2069	129
941	2070	127
942	2071	125
943	2072	122
944	2073	120
945	2074	118
946	2076	116
947	2077	113
948	2078	111
949	2079	109
950	2080	107
951	2083	105
952	2084	102
953	2085	100
954	2086	98
955	2087	96
956	2089	93
957	2090	91
958	2091	89
959	2092	87
960	2093	84
961	2094	82
962	2094	80
963	2096	78
964	2097	76
965	2098	73
966	2099	71
967	2101	69
968	2102	67
969	2103	65
970	2104	62
971	2105	60
972	2107	58
973	2107	56
974	2108	54
975	2109	51
976	2110	49
977	2111	47
978	2112	45
979	2113	43
980	2114	40
981	2115	38
982	2116	36
983	2117	34
984	2117	32
985	2118	30
986	2119	27
987	2120	25
988	2121	23
989	2122	21
990	2122	19
991	2123	17
992	2124	14
993	2125	12
994	2126	10
995	2127	8
996	2128	6
997	2129	4
998	2129	2
999	2130	0
