iter	Logloss
0	0.6860043514
1	0.6790081427
2	0.6717070155
3	0.6649868239
4	0.6583946067
5	0.6519231197
6	0.6452267391
7	0.6391474125
8	0.6329199432
9	0.6269228313
10	0.6206674421
11	0.615146379
12	0.6095640357
13	0.6030401386
14	0.5980135433
15	0.5928924065
16	0.5882489659
17	0.5826190038
18	0.5767767133
19	0.5718964143
20	0.5668254397
21	0.5617144061
22	0.5564364876
23	0.5510958108
24	0.5456719477
25	0.5411772201
26	0.53644347
27	0.5313978804
28	0.5271571771
29	0.5226000131
30	0.5183563431
31	0.5138324819
32	0.5100658374
33	0.5056052206
34	0.5003171863
35	0.4959798487
36	0.4916551624
37	0.4877273388
38	0.4838625284
39	0.4799085457
40	0.4752420487
41	0.471651761
42	0.468392134
43	0.4645511625
44	0.4610066174
45	0.456939149
46	0.4531029575
47	0.4490938261
48	0.4450052086
49	0.4416838891
50	0.4383585426
51	0.4348969545
52	0.431231474
53	0.4276929271
54	0.4237784556
55	0.4202916703
56	0.4172964337
57	0.4142158965
58	0.4113200898
59	0.40830415
60	0.4053633051
61	0.4025968029
62	0.3991971744
63	0.396334744
64	0.3931862039
65	0.389676089
66	0.3868038011
67	0.3840909007
68	0.3811564162
69	0.3784565049
70	0.37541933
71	0.3732234385
72	0.3705008371
73	0.3677066826
74	0.3652477405
75	0.3625674901
76	0.3594022933
77	0.3566678609
78	0.3542118645
79	0.3517287597
80	0.3494953061
81	0.3466888117
82	0.3440104755
83	0.3416224521
84	0.3390385439
85	0.3369015786
86	0.3346442702
87	0.3321827205
88	0.330042325
89	0.3281874655
90	0.3261788289
91	0.3240500958
92	0.3218527755
93	0.319842058
94	0.3175560074
95	0.315693434
96	0.3136230672
97	0.3118526314
98	0.3099540639
99	0.3077977385
100	0.3055786022
101	0.3037806399
102	0.3015260359
103	0.2998393419
104	0.2981718131
105	0.296185972
106	0.2945613309
107	0.292770217
108	0.2911193834
109	0.289388267
110	0.2873219529
111	0.2852128594
112	0.2831955012
113	0.2814088432
114	0.2797735333
115	0.2780467463
116	0.2762952522
117	0.274563309
118	0.2731308984
119	0.2717317244
120	0.270358063
121	0.2689147944
122	0.2674702914
123	0.2659067571
124	0.2645078109
125	0.2631892819
126	0.2615687624
127	0.2602607556
128	0.2590906318
129	0.2577333438
130	0.2563437984
131	0.2552270573
132	0.2539988611
133	0.2529984996
134	0.2517589562
135	0.2504120591
136	0.2490992732
137	0.247875392
138	0.2468026769
139	0.245441467
140	0.2439792896
141	0.2429102625
142	0.241538378
143	0.2400229528
144	0.2390616355
145	0.2377975667
146	0.2363597003
147	0.2354964762
148	0.2343179302
149	0.2331493733
150	0.2319621559
151	0.2308498122
152	0.2295857396
153	0.2285862019
154	0.2270952639
155	0.2261890127
156	0.2251175501
157	0.2240537825
158	0.2227785794
159	0.2217184923
160	0.2206028063
161	0.2197511494
162	0.2188095295
163	0.2176710444
164	0.2168961514
165	0.2160333844
166	0.215059413
167	0.2140989814
168	0.2129108804
169	0.2118334107
170	0.2110257676
171	0.2101904557
172	0.2092595975
173	0.2082478086
174	0.2074097739
175	0.2064625455
176	0.2055933583
177	0.2046356448
178	0.2037721119
179	0.2028343776
180	0.2020083984
181	0.2011948287
182	0.2004002896
183	0.1995699963
184	0.1987610947
185	0.1980451209
186	0.1971862088
187	0.1964008645
188	0.1956843753
189	0.1948325779
190	0.1939278017
191	0.1932034001
192	0.1926408569
193	0.1919425535
194	0.191137439
195	0.1903029355
196	0.1895219278
197	0.1888865474
198	0.1883345937
199	0.1875375884
200	0.18682788
201	0.1862789694
202	0.1855237244
203	0.1847203107
204	0.1840369909
205	0.1830479092
206	0.1822669528
207	0.181435113
208	0.1808952112
209	0.1803472048
210	0.1799011208
211	0.179379082
212	0.1786558777
213	0.1782015226
214	0.177409013
215	0.1768035153
216	0.1761469433
217	0.1755335694
218	0.1748111636
219	0.1742735794
220	0.1736290322
221	0.1729463428
222	0.1724432387
223	0.1715962686
224	0.170874891
225	0.1703544707
226	0.1696657333
227	0.1690837094
228	0.1684942985
229	0.168033654
230	0.1675915706
231	0.1670590804
232	0.1663425576
233	0.1657173081
234	0.1651595941
235	0.1646745182
236	0.1642464572
237	0.1634740552
238	0.1629631767
239	0.1626558642
240	0.1620762945
241	0.1615077374
242	0.1609334353
243	0.1603897088
244	0.1598164163
245	0.159260304
246	0.1588355588
247	0.1580935093
248	0.1576073986
249	0.1572157081
250	0.1567939616
251	0.1562909953
252	0.1556634737
253	0.1551546376
254	0.1548731715
255	0.15459316
256	0.1541691478
257	0.1535723633
258	0.1531617666
259	0.1526143531
260	0.1521531869
261	0.1518294059
262	0.1514705289
263	0.1511319471
264	0.1507884719
265	0.1504820754
266	0.1502447691
267	0.1497500716
268	0.1493264358
269	0.1488804102
270	0.1484152723
271	0.1479103934
272	0.1476234009
273	0.1473058112
27274	0.15843824927275	0.1579843247
276	0.1575248196
277	0.15694617927278	0.15656516
279	0.1560806414
280	0.1555298133
281	0.155135686
282	0.1547184104
283	0.1543414205
284	0.1540111341
285	0.1536526298
286	0.153106935
287	0.1526915346
288	0.1523242011
289	0.1520364087
290	0.1516810575
291	0.1512767245
292	0.151019816
293	0.1506159586
294	0.1503010487
295	0.1499386539
296	0.1494618668
297	0.1489891555
298	0.1486312944
299	0.1483282062
300	0.1479567021
301	0.1474994702
302	0.1471602931
303	0.1468612151
304	0.1465333226
305	0.1463046552
306	0.1457653413
307	0.1454267951
308	0.1452163232
309	0.1449783588
310	0.1446888792
311	0.1444389752
312	0.1441889237
313	0.1437485313
314	0.1434289126
315	0.1430288489
316	0.1426234726
317	0.1424345682
318	0.1420340606
319	0.1418030336
320	0.1415379134
321	0.1410975032
322	0.1406342799
323	0.140288923
324	0.1399176816
325	0.139478607
326	0.1391944576
327	0.1388965118
328	0.1385467297
329	0.138147228
330	0.1377272423
331	0.1376036789
332	0.137284669
333	0.1367850078
334	0.1365364525
335	0.1362455604
336	0.1358380848
337	0.1354987943
338	0.1351813969
339	0.1348936249
340	0.1344586171
341	0.1343605648
342	0.1340407467
343	0.1337169399
344	0.1334780013
345	0.1331543162
346	0.1328749518
347	0.1324644671
348	0.1321081442
349	0.1317631134
350	0.1313744731
351	0.1310426318
352	0.130732364
353	0.1304528228
354	0.1301637694
355	0.1299179282
356	0.1295948235
357	0.1291911324
358	0.129000139
359	0.1286817109
360	0.1283872258
361	0.1279894334
362	0.1277547282
363	0.1274540528
364	0.1271451064
365	0.126821897
366	0.1264709255
367	0.1262994819
368	0.1260744407
369	0.1258886513
370	0.1255979639
371	0.1253121856
372	0.1250131058
373	0.124642006
374	0.1244696314
375	0.1243266187
376	0.1239457537
377	0.1237405045
378	0.1235845862
379	0.1232253501
380	0.1229683038
381	0.1227790748
382	0.1225190721
383	0.1222211739
384	0.1220685742
385	0.1217979954
386	0.1216311256
387	0.1213911064
388	0.1212066393
389	0.1209395126
390	0.1207575546
391	0.1204285552
392	0.1203202965
393	0.120131708
394	0.1199360045
395	0.1197098814
396	0.1194301263
397	0.1190203058
398	0.1188233969
399	0.11869374
400	0.1183213606
401	0.1181068577
402	0.1178650476
403	0.1175301774
404	0.1173658666
405	0.1171741738
406	0.1168132858
407	0.11649668
408	0.1161966029
409	0.115968597
410	0.115723536
411	0.1153985308
412	0.1152197143
413	0.11505658
414	0.1147774718
415	0.1144769378
416	0.1141812557
417	0.1138863453
418	0.1136531611
419	0.1133179706
420	0.1131292375
421	0.112918882
422	0.1128358029
423	0.1127002995
424	0.1125867742
425	0.112282413
426	0.11206656
427	0.1118040463
428	0.111532785
429	0.111355561
430	0.1110421552
431	0.110787145
432	0.1105853609
433	0.1104047626
434	0.1101507967
435	0.1098324601
436	0.1096958701
437	0.1093933663
438	0.109167257
439	0.1089664575
440	0.1086786544
441	0.1084737153
442	0.108199203
443	0.1080492352
444	0.1078045059
445	0.1075306456
446	0.1072404687
447	0.1068055792
448	0.1066376203
449	0.1064573142
450	0.1063182898
451	0.1061199795
452	0.1058941454
453	0.1056624589
454	0.1054604184
455	0.1052704572
456	0.105171153
457	0.105001904
458	0.1047181385
459	0.1046193147
460	0.1044037085
461	0.1042725352
462	0.1040676786
463	0.1039294678
464	0.103701141
465	0.1035222041
466	0.1032671641
467	0.1030827426
468	0.1028458098
469	0.1027510442
470	0.1025909026
471	0.1023448193
472	0.1021741255
473	0.1019313446
474	0.1017567055
475	0.101575032
476	0.1013670516
477	0.101205191
478	0.1010390835
479	0.1007480869
480	0.1005666433
481	0.1003870986
482	0.100152835
483	0.09997707385
484	0.09989664384
485	0.09965698114
486	0.09940715615
487	0.09918076163
488	0.09899364514
489	0.09881040943
490	0.09856572795
491	0.09833409878
492	0.09816318877
493	0.09797035102
494	0.09780367452
495	0.09773202201
496	0.09754177912
497	0.09741356827
498	0.09727030693
499	0.09709736216
500	0.09686388178
501	0.09677291847
502	0.09661284594
503	0.09650500127
504	0.09629868941
505	0.09616609083
506	0.09597803297
507	0.09579470344
508	0.09558007326
509	0.09547664801
510	0.09520934672
511	0.09508279471
512	0.09486754341
513	0.09475916782
514	0.09455695591
515	0.09437489998
516	0.09414342897
517	0.09392800628
518	0.0937635282
519	0.09352786894
520	0.09336918072
521	0.09326111766
522	0.09316781384
523	0.09294818476
524	0.09284016821
525	0.09274806264
526	0.0926017572
527	0.09246376425
528	0.09225569863
529	0.09214318272
530	0.09197373712
531	0.09186754845
532	0.09169744231
533	0.09157249521
